id_hex,tokenA,tokenB,full,score,visual_label
0x10882010,ADVENE,ADVT,ADVENEADVT,0,
0x10882010,ADVENT,LEAD,ADVENTLEAD,0,
0x10882010,ALUCO,DUNES,ALUCODUNES,0,
0x10882010,ANDRON,MICE,ANDRONMICE,0,
0x10882010,ANELE,NEWSY,ANELENEWSY,0,
0x10882010,ANELE,NOMIC,ANELENOMIC,0,
0x10882010,ARALES,CURN,ARALESCURN,0,
0x10882010,ARALES,OSAGES,ARALESOSAGES,0,
0x10882010,ARAYNE,MILTOS,ARAYNEMILTOS,0,
0x10882010,AROW,BETELS,AROWBETELS,0,
0x10882010,ASMACK,KEPHIR,ASMACKKEPHIR,0,
0x10882010,AVIS,OCRACY,AVISOCRACY,0,
0x10882010,AWALIM,ENTREZ,AWALIMENTREZ,0,
0x10882010,AWALIM,SKIRLS,AWALIMSKIRLS,0,
0x10882010,AWALT,BESAN,AWALTBESAN,0,
0x10882010,BABISM,METOPE,BABISMMETOPE,0,
0x10882010,BABOO,PEIZE,BABOOPEIZE,0,
0x10882010,BAUCH,BOLAR,BAUCHBOLAR,0,
0x10882010,BELA,STEADS,BELASTEADS,0,
0x10882010,BELAST,ITHACA,BELASTITHACA,0,
0x10882010,BELIES,GLUISH,BELIESGLUISH,0,
0x10882010,BELIES,STADES,BELIESSTADES,0,
0x10882010,BETES,EIDOS,BETESEIDOS,0,
0x10882010,BOSONS,LEVITY,BOSONSLEVITY,0,
