id_hex,id_dec,kinds,popcount,n_builds,beta,demo_eu,demo_jp,pal_d1,pal_d2,pal_d3,jp,us
0x08ba0250,146408016,sprite|anim,9,6,1,0,0,1,1,1,1,1
0x08bc8013,146571283,sprite|anim,10,6,1,0,0,1,1,1,1,1
0x08de7215,148795925,sprite|anim,14,6,1,0,0,1,1,1,1,1
0x092b8480,153846912,sprite|anim,9,8,1,1,1,1,1,1,1,1
0x093080c8,154173640,sprite|anim,8,8,1,1,1,1,1,1,1,1
0x09382152,154673490,sprite|anim,10,8,1,1,1,1,1,1,1,1
0x09406d8a,155217290,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x09993072,161034354,sprite|anim,12,8,1,1,1,1,1,1,1,1
0x09ce0610,164496912,sprite|anim,10,8,1,1,1,1,1,1,1,1
0x0a08c490,168346768,sprite|anim,8,6,1,0,0,1,1,1,1,1
0x0a1820d4,169353428,sprite|anim,9,8,1,1,1,1,1,1,1,1
0x0a3a4051,171589713,sprite|anim,10,8,1,1,1,1,1,1,1,1
0x0a409040,172003392,audio,6,6,1,0,0,1,1,1,1,1
0x0a921e2c,177348140,sprite|anim,12,6,1,0,0,1,1,1,1,1
0x0aa18900,178358528,sprite|anim,8,6,1,0,0,1,1,1,1,1
0x0aabc010,179027984,sprite|anim,10,8,1,1,1,1,1,1,1,1
0x0ace0610,181274128,sprite|anim,10,8,1,1,1,1,1,1,1,1
0x0ad0f813,181467155,sprite|anim,13,8,1,1,1,1,1,1,1,1
0x0b0811bb,185078203,sprite|anim,12,6,1,0,0,1,1,1,1,1
0x0b081dbb,185081275,sprite|anim,14,6,1,0,0,1,1,1,1,1
0x0b2084d0,186680528,sprite|anim,9,8,1,1,1,1,1,1,1,1
0x0b290ba2,187239330,sprite|anim,12,6,1,0,0,1,1,1,1,1
0x0bab9854,195795028,sprite,14,1,0,0,0,0,1,0,0,0
0x0bbb70ac,196833452,sprite|anim,16,8,1,1,1,1,1,1,1,1
0x0c01c014,201441300,sprite|anim,7,6,1,0,0,1,1,1,1,1
0x0c3082c3,204505795,audio,10,6,1,0,0,1,1,1,1,1
0x0c34aa22,204778018,sprite|anim,11,6,1,0,0,1,1,1,1,1
0x0c78005c,209191004,sprite|anim,10,6,1,0,0,1,1,1,1,1
0x0cce0610,214828560,sprite|anim,10,8,1,1,1,1,1,1,1,1
0x0e041001,235147265,audio,6,6,1,0,0,1,1,1,1,1
0x0e0ac230,235586096,sprite|anim,10,8,1,1,1,1,1,1,1,1
0x0e3889be,238586302,sprite|anim,15,6,1,0,0,1,1,1,1,1
0x1000c042,268484674,audio,5,8,1,1,1,1,1,1,1,1
0x10057441,268792897,sprite|anim,9,6,1,0,0,1,1,1,1,1
0x10094096,269041814,sprite|anim,8,8,1,1,1,1,1,1,1,1
0x1063bb49,274971465,audio,14,8,1,1,1,1,1,1,1,1
0x10882010,277356560,sprite|anim,5,6,1,0,0,1,1,1,1,1
0x10904443,277890115,audio,8,6,1,0,0,1,1,1,1,1
0x10965446,278287430,audio,11,6,1,0,0,1,1,1,1,1
0x10b85810,280516624,sprite|anim,9,8,1,1,1,1,1,1,1,1
